num,name,shape,color,text,text2,code,form,company,image_url
1,닥터베아제정,장방형,주황,닥터베아제,,200300406,정제,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148647963523800122
2,뮤테란캡슐200밀리그램(아세틸시스테인),장방형,하양,MUC200 한화,,198801525,경질캡슐,한화제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427538030900041
3,베아제정,장방형,초록,BEARSE,,198700405,정제,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148647963523800116
4,삐콤씨정,타원형,분홍,BC,YH,201206997,정제,(주)유한양행,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PThtYEQ972
5,아로나민골드정,타원형,빨강,Aro-G,Aro-G,197000037,정제,일동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609810414600027
6,알마겔정(알마게이트)(수출명:유한가스트라겔정),원형,하양,YH,AMG,198700430,정제,(주)유한양행,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148609556259100119
7,엘도스캡슐(에르도스테인),장방형,초록 노랑,DW ELC,,199500435,경질캡슐,(주)대웅제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Og9J5dfYp3
8,타겐에프연질캡슐(빌베리건조엑스),타원형,검정,TG-F,,200200323,연질캡슐,국제약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609810414600153
9,타이레놀정500밀리그람(아세트아미노펜),장방형,하양,TYLENOL,500,202106092,정제,한국존슨앤드존슨판매(유),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OKRXo9l4D5
10,파자임-95밀리그램이중정,타원형,갈색,P^,,198300605,정제,부광약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1McVeGQyqQL
11,페니라민정(클로르페니라민말레산염),원형,노랑,YH,,196000011,정제,(주)유한양행,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Orz9gcUHnw
12,훼스탈골드정,(달걀형)장방형,하양,훼스탈골드,,199900926,정제,(주)한독,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OqWQSX8FYq
13,훼스탈플러스정,(달걀형)장방형,하양,훼스탈PLUS,,199801026,정제,(주)한독,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Os8pyE54Rj
14,가네카정,원형,하양,G,cr,198601398,정제,지엘파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154599010139600143
15,가네탑골드연질캡슐,장방형,검정,가네탑골드,,200808096,연질캡슐,일양약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N7lFt9NAm7
16,"가딘정75밀리그램

(라니티딘염산염)",오각형,분홍,GD,75,201507261,정제,유니메드제약(주),
17,가레오연질캡슐(디히드록시디부틸에테르),타원형,하양 검정,GAL250,,198802329,연질캡슐,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427593004100048
18,가레오연질캡슐500밀리그램(디히드록시디부틸에테르),장방형,하양 검정,GAL500,,198802326,연질캡슐,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427593004100051
19,감마마그빅연질캡슐,장방형,갈색,알파,,201500053,연질캡슐,알파제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426989724000081
20,게루삼엠정(건조수산화알루미늄겔),원형,하양,AHG,,199501099,정제,삼남제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427668455400014
21,게루삼정,원형,하양,G,G,196400046,정제,삼남제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154307400984500104
22,게보린릴랙스연질캡슐,장방형,주황,GRX,,202007294,연질캡슐,삼진제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXqH06PVHI
23,게보린브이정(아세트아미노펜),삼각형,하양,GRV,,202107495,정제,삼진제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O597tTUFYW
24,게보린소프트연질캡슐,타원형,분홍,GRS,,201908295,연질캡슐,삼진제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OcIzQG1ql0
25,게이트정(알마게이트),장방형,하양,WK,AMG,201310271,정제,오스틴제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426799381700051
26,겔티-포르테연질캡슐,타원형,주황 갈색,YPA,,201201680,연질캡슐,영풍제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426597943600165
27,경남그린웰연질캡슐,장방형,갈색,KN GW,,200501415,연질캡슐,경남제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428258513600026
28,경남나프록센연질캡슐,타원형,초록,KN-N,,201403474,연질캡슐,경남제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151810441495000045
29,경남데일리디츄어블정,원형,노랑,KN-D,,201307766,정제,경남제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149723228746300015
30,경동파니틴정10밀리그램(파모티딘),원형,초록,FN,10,202106054,정제,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OKRXo9l4EV
31,골드타민연질캡슐,장방형,갈색,골드타민,,200802314,연질캡슐,(주)서흥,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MmZCvzwsY1
32,골사민캡슐(결정글루코사민황산염)(수출명 : NEOCOMIN),장방형,빨강 노랑,GSM SINIL,,199902612,경질캡슐,신일제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OfoK-mSlPY
33,광동리버샷정(수출용),원형,갈색,K.D,,201600289,정제,광동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148682304213600195
34,광동아스피린장용정100mg,원형,하양,KD,^S,201702015,정제,광동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149805864617300171
35,광동에너릭정,원형,갈색,K.D,100,202201218,정제,광동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OeD8xwOrQY
36,구루치온정100밀리그램(글루타티온(환원형)),원형,하양,YPS,,201502890,정제,영풍제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427076761600175
37,구바파정,원형,분홍,,G2,200801686,정제,(주)아이월드제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MtU6vRYsX0
38,구아내정,장방형,갈색,GHG,,200809204,정제,(유)한풍제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427926223400074
39,굿모닝에이스정,원형,초록,GH,,201708002,정제,(유)한풍제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NZ_B2rUzxn
40,굿스펜연질캡슐(덱시부프로펜),장방형,하양,KD GP,,200900682,연질캡슐,광동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oikd3yeYje
41,굿포미정,원형,분홍,,,202106656,정제,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O597tTUF27
42,그날엔노즈에이연질캡슐,타원형,빨강,GAN,,202302739,연질캡슐,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsA6H
43,그날엔노즈플러스연질캡슐,장방형,파랑,XGNP,,201705221,연질캡슐,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150539922160400074
44,그날엔더블유연질캡슐,타원형,주황,GNL,,202107347,연질캡슐,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O43E2UC9wW
45,그날엔덱스연질캡슐(덱시부프로펜),타원형,노랑,GnDex,,201903015,연질캡슐,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Ml-kwRqCx-
46,그날엔에이스연질캡슐,타원형,갈색,GNA,,202302140,연질캡슐,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OolGzblOnG
47,그날엔정,원형,하양,N KYUNG DONG,,200902301,정제,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700043
48,그날엔코프에이연질캡슐,타원형,파랑,GAP,,202302948,연질캡슐,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Os8pyE54R-
49,그날엔코프플러스연질캡슐,장방형,초록,XGPP,,201705220,연질캡슐,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150539922160400080
50,그날엔콜드에이연질캡슐,타원형,노랑,GAC,,202302949,연질캡슐,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsA6r
51,그날엔콜드플러스연질캡슐,장방형,노랑,XGCP,,201705219,연질캡슐,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150539922160400068
52,그날엔큐정,원형,하양,Q KYUNG DONG,,200906330,정제,경동제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OHXkPjtIWC
53,그랑페롤연질캡슐1000아이유(비타민이프리퍼레이션),장방형,노랑,G1000,,198800444,연질캡슐,(주)유한양행,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OmM2OP_0ZK
54,그랑페롤연질캡슐400아이유(비타민이프리퍼레이션)(군납명:토코페롤연질캡슐400아이유100캡슐),타원형,노랑,G400,,198700431,연질캡슐,(주)유한양행,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oln5d5U9uA
55,그루타제정,장방형,초록,GLT,,199502365,정제(장용정),지엘파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oikd3yeYA9
56,그린콜연질캡슐,장방형,노랑,GRC,,200608329,연질캡슐,(주)알피바이오,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6N8C
57,글로게이트정(알마게이트),원형,하양,KG,U1,201307834,정제,(주)킵스바이오파마,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NUBfpZPSFE
58,글로아스피린장용정100mg(아스피린),원형,하양,KG,7,201402959,정제,(주)킵스바이오파마,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154055956537400107
59,글로칼디정,장방형,초록,KG,D,202401821,정제,(주)킵스바이오파마,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUceCR
60,글루100정(글루타티온(환원형)),원형,하양,DC,G,201305220,정제,(주)동구바이오제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426676298300153
61,글루디톡정(글루타티온(환원형)),원형,하양,TG,GT,202302457,정제,태극제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OqoN-3zWwk
62,글루원정,원형,하양,T2,,202009258,정제,(주)아이월드제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NYyLUFhd9O
63,글루타틴정100mg(글루타티온(환원형)),원형,하양,C41,,201902007,정제,(주)텔콘알에프제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PSZlZaBRUC
64,글린타민캡슐,장방형,빨강 노랑,NBK 67,,202006359,경질캡슐,엔비케이제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OSm8xoWjxb
65,글치온정(글루타티온(환원형)),원형,하양,TE,,202002332,정제,(주)테라젠이텍스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NDXmGS9ezg
66,기가렉스연질캡슐,타원형,빨강,ggr,,201202397,연질캡슐,(주)알피바이오,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426604172000059
67,기가에이연질캡슐,타원형,주황,GIGA-A,,200004264,연질캡슐,(주)알피바이오,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154653006580000100
68,기가엔드연질캡슐,타원형,빨강,GGD,,201508445,연질캡슐,동방에프티엘(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427173043400056
69,기가제로연질캡슐,타원형,주황,GGZ,,201605499,연질캡슐,코스맥스파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148431162903300136
70,기가파워연질캡슐,타원형,빨강,GIGA,,201603223,연질캡슐,한솔신약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153037322892500119
71,기가프신연질캡슐,타원형,주황,KS,,201606791,연질캡슐,(주)에이프로젠바이오로직스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148604072451200106
72,기노엘연질캡슐(L-시스틴),장방형,주황,GVT500,,200002783,연질캡슐,(주)테라젠이텍스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NSBhKkKwgv
73,기스톱정(세티리진염산염),장방형,하양,K,IWP,200803434,정제,(주)아이월드제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427835920100128
74,나나정500밀리그램(아세트아미노펜),장방형,하양,PARDA,90,202200088,정제,초당약품공업(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OOrhdcAmZk
75,나노디오정600밀리그램(디오스민),원형,초록,nanoD,,202002089,정제,초당약품공업(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NpHokfzODi
76,나노민연질캡슐,장방형,갈색,나노민,,200904182,연질캡슐,한솔신약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000182
77,나로펜정(나프록센나트륨),장방형,파랑,Wal02,,199401319,정제,오스틴제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OlGSH7jthl
78,나르펜정400밀리그램(이부프로펜)(수출명:PANALTab.),원형,주황,NF,CD,198701721,정제,초당약품공업(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Of1OQGVYyt
79,나리센연질캡슐(나프록센),장방형,파랑,KKM,,201403877,연질캡슐,주식회사제뉴원사이언스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NXa2J_KdEs
80,나스타제정,장방형,초록,NAS,,201707455,정제,(주)한국파마,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NhETqzLMkB
81,나스펜연질캡슐(아세트아미노펜),타원형,주황,CA NAS,,201906314,연질캡슐,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Muwq7fAty_
82,나쎈연질캡슐(나프록센),장방형,초록,나쎈,,201306491,연질캡슐,신일제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426697439100109
83,나에겐연질캡슐(나프록센),장방형,주황,나에겐,,201401095,연질캡슐,(주)마더스제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MdYV-PxY6e
84,나프노펜정(나프록센나트륨),타원형,파랑,NN,,200500806,정제,(주)일화,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PIMRzfJr_V
85,나프록소정(나프록센나트륨),장방형,하양,NAP,275,201701248,정제,오스템파마주식회사,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154817162448300012
86,나프록신정(나프록센나트륨),타원형,파랑,HIP,NLX,200204388,정제,화일약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MpNPEsu-T7
87,나프롱정(나프록센나트륨),장방형,파랑,NPRT,,199802387,정제,신일제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OlGSH7jteN
88,나프원큐에스연질캡슐(나프록센),장방형,파랑,NOQS,,202003877,연질캡슐,동아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NoOiJmZUtt
89,나프원큐연질캡슐(나프록센),타원형,주황,NOQ,,201902876,연질캡슐,동아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pen6DWRNtP
90,낙센연질캡슐(나프록센),타원형,분홍,NAX,,201501592,연질캡슐,(주)종근당,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OO88JPAn_6
91,낙센정(나프록센),장방형,노랑,N250,,197500016,정제,(주)종근당,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427297681200156
92,네로민정,원형,주황,GH,NE,201201967,정제,(유)한풍제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NeFqpW1gi-
93,네오신정,원형,노랑,WBT,,202303220,정제,메딕스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsAaf
94,네오콜캡슐,장방형,갈색 노랑,NY51 NY51,,201706691,경질캡슐,한국신텍스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151672206274500105
95,네오콜코프캡슐,장방형,파랑 하양,NY52 NY52,,201800286,경질캡슐,한국신텍스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152415243654100033
96,네오크로신연질캡슐(클로닉신리시네이트),타원형,파랑,NEO,,201803647,연질캡슐,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N8jUtEiHm-
97,네프비타정,원형,주황,DID,,199802000,정제,하이플생명과학(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PT7hBiMTWm
98,넥스팜염산암부록솔정(암브록솔염산염),원형,하양,AMBU,,199804331,정제,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MnfO1MVzhX
99,넥스팜탄산칼슘정(침강탄산칼슘),원형,하양,NKCA,,199804362,정제,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MbnHD7rxmm
100,넥스핀장용정100mg(아스피린),원형,하양,N^S,,201310349,정제,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsApr
101,넥콘600에프정,장방형,갈색,NK,600,201804383,정제,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MYVLzDTTrv
102,넬슨이부프로펜정200밀리그램(이부프로펜),원형,주황,KNP,,199501735,정제,한국넬슨제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427558691400000
103,넬슨이부프로펜정400밀리그램(이부프로펜),타원형,주황,NELSON,,199501736,정제,한국넬슨제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427558691400012
104,노량캡슐,장방형,초록 하양,NR AG,,202300042,경질캡슐,안국약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OURtchsAIC
105,노리스정(클로닉신리시네이트),원형,노랑,NR,cr,198601395,정제,지엘파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NhETqzLMc6
106,노바멜라인장용정100밀리그램(브로멜라인),원형,분홍,NV,,202301788,정제,주식회사 노바엠헬스케어,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OZV2pPArkX
107,노바프록센정(나프록센나트륨),타원형,파랑,NVM,7,202106248,정제,주식회사 노바엠헬스케어,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O0bxj5FjvT
108,노스핀캡슐,장방형,노랑,Wal C35,,200906281,경질캡슐,오스틴제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800068
109,노시드정,원형,하양,YN,,202002642,정제,영진약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6SM0
110,노이제로정,타원형,갈색,JE^,,201701612,정제,태극제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N7WiIONw_z
111,노이텍정,타원형,갈색,E^R,,201801617,정제,아이큐어(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs9NY
112,노자임캡슐40000(판크레아틴장용성제피펠렛),장방형,갈색 주황,40,,201307930,경질캡슐,(주)한국팜비오,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149723228746300092
113,노즈그린연질캡슐,타원형,노랑,GRN,,202201683,연질캡슐,코스맥스파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OQ2VIm7Wbe
114,노즈코프연질캡슐,장방형,빨강,노즈코프,,202300634,연질캡슐,태극제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OURtchspS-
115,노즈파워연질캡슐,타원형,빨강,NOSP,,201601579,연질캡슐,한솔신약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153339724594600013
116,노콜레스연질캡슐,타원형,초록,CANO,,200709062,연질캡슐,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6IOz
117,노펜에스정,장방형,하양,NY11,,202203657,정제,한국신텍스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OW18w-b01v
118,녹십자폴산정,원형,노랑,GCF,,201803375,정제,(주)녹십자,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUce1U
119,누코미트캡슐200밀리그램(아세틸시스테인),장방형,노랑,NUC 200,,199200475,경질캡슐,(주)셀트리온제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OSWzHKsv_D
120,눈모아연질캡슐,타원형,갈색,IWP,,200708954,연질캡슐,(주)아이월드제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6IE9
121,뉴넥스정,원형,초록,NL,,202006971,정제,한국신텍스제약(주),
122,뉴락스에프정,원형,초록,TGNF,,202004930,정제,태극제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NNuh6mJnaU
123,뉴로친연질캡슐,장방형,노랑,뉴로친,,200301985,연질캡슐,(주)씨엠지제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428018612500085
124,뉴먼트에이스연질캡슐,장방형,갈색,NMT ACE,,201308209,연질캡슐,제이더블유중외제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs6kB
125,뉴모나정(덱스판테놀),원형,하양,NMN,,202007137,정제,경동제약(주),
126,뉴스피린장용정100밀리그램(아스피린),원형,하양,DM,^S,201801356,정제,(주)다산제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153339721554900111
127,뉴에르도테캡슐(에르도스테인),장방형,초록 노랑,AN EDT,,201602871,경질캡슐,안국뉴팜(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148362082166500066
128,뉴젠비싸이모정,원형,분홍,CYMO,,200301795,정제,(주)셀릭스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6LXQ
129,뉴코딜정,원형,초록,NP,,201900111,정제,대한뉴팜(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MZGLmiMsUc
130,뉴콘틴연질캡슐,장방형,주황,KS NC,,201103116,연질캡슐,정우신약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Ogz8Ct6u5F
131,뉴트리-비프리미엄정,타원형,갈색,NBP,KLN,201305371,정제,코오롱제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1ODWhLtN68H
132,뉴트리액티브정,장방형,갈색,NTA,,202003327,정제,한국코러스(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NRstGF7DCh
133,니오틴정(비오틴),원형,하양,HS,1,202303390,정제,(주)휴온스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8uc
134,니자드정(니자티딘),원형,노랑,ENK,ND,201404327,정제,(주)이든파마,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NoOiJmZV07
